Date,Open,High,Low,Close,Adj Close,Volume
2018-08-28,138.320007,139.270004,137.119995,138.679993,138.679993,1907700
2018-08-29,138.699997,138.940002,135.080002,138.699997,138.699997,2154600
2018-08-30,137.800003,138.380005,135.690002,137.000000,137.000000,4293400
2018-08-31,153.300003,159.789993,153.009995,154.929993,154.929993,14304200
2018-09-04,154.860001,160.000000,154.710007,157.289993,157.289993,4466300
2018-09-05,157.169998,157.289993,152.080002,152.740005,152.740005,2638400
2018-09-06,153.570007,154.970001,150.779999,151.000000,151.000000,2365600
2018-09-07,150.740005,153.990005,150.589996,150.820007,150.820007,2052400
2018-09-10,151.500000,154.779999,151.500000,154.110001,154.110001,1365500
2018-09-11,154.169998,155.250000,152.199997,153.229996,153.229996,1486500
2018-09-12,153.300003,154.070007,150.869995,153.009995,153.009995,1372300
2018-09-13,153.160004,154.820007,152.199997,154.600006,154.600006,1275800
2018-09-14,154.729996,155.639999,152.470001,153.710007,153.710007,1193300
2018-09-17,159.100006,160.679993,154.820007,155.380005,155.380005,2620000
2018-09-18,155.690002,158.940002,153.800003,158.440002,158.440002,1434300
2018-09-19,158.630005,158.630005,154.050003,155.210007,155.210007,1621100
2018-09-20,155.449997,156.399994,154.389999,155.970001,155.970001,1241400
2018-09-21,156.589996,158.130005,154.630005,156.990005,156.990005,2070600
2018-09-24,156.789993,157.779999,156.029999,157.339996,157.339996,1196100
2018-09-25,157.550003,159.080002,157.080002,158.410004,158.410004,1220400
2018-09-26,157.750000,159.880005,156.770004,158.960007,158.960007,1010500
2018-09-27,160.000000,161.500000,158.660004,161.240005,161.240005,1682400
2018-09-28,161.250000,164.139999,161.250000,162.490005,162.490005,1525200
2018-10-01,163.800003,164.789993,161.190002,161.639999,161.639999,1012900
2018-10-02,162.880005,163.130005,160.000000,160.199997,160.199997,1336200
2018-10-03,161.250000,161.830002,159.350006,161.520004,161.520004,1237700
2018-10-04,160.220001,161.080002,156.330002,157.039993,157.039993,1484800
2018-10-05,156.690002,158.339996,151.460007,153.839996,153.839996,2133800
2018-10-08,153.020004,154.919998,148.339996,150.779999,150.779999,2739500
2018-10-09,149.839996,153.449997,149.000000,150.250000,150.250000,1592400
2018-10-10,149.169998,149.559998,140.399994,140.679993,140.679993,2542600
2018-10-11,139.289993,144.910004,137.679993,140.509995,140.509995,2169500
2018-10-12,145.529999,146.899994,141.070007,143.710007,143.710007,3529000
2018-10-15,146.789993,146.979996,142.860001,144.460007,144.460007,1626400
2018-10-16,145.559998,147.220001,142.970001,146.830002,146.830002,1859900
2018-10-17,146.979996,147.770004,142.750000,143.570007,143.570007,1286700
2018-10-18,143.089996,145.649994,140.919998,142.679993,142.679993,1748000
2018-10-19,143.479996,144.100006,136.529999,136.770004,136.770004,2090700
2018-10-22,136.470001,140.899994,136.020004,139.949997,139.949997,1979300
2018-10-23,137.210007,137.720001,133.130005,137.429993,137.429993,2004300
2018-10-24,140.800003,140.970001,134.160004,134.289993,134.289993,1771100
2018-10-25,134.309998,138.589996,134.000000,137.220001,137.220001,1664900
2018-10-26,134.490005,136.669998,133.139999,134.820007,134.820007,1712400
2018-10-29,136.690002,139.149994,133.949997,135.880005,135.880005,1726800
2018-10-30,135.360001,142.630005,135.119995,142.130005,142.130005,2120700
2018-10-31,143.750000,146.600006,140.660004,140.729996,140.729996,2360600
2018-11-01,141.660004,144.649994,138.970001,144.169998,144.169998,1665000
2018-11-02,145.369995,145.449997,140.039993,142.020004,142.020004,1499300
2018-11-05,143.279999,143.839996,139.149994,142.199997,142.199997,1515100
2018-11-06,141.830002,143.600006,139.919998,141.130005,141.130005,1402400
2018-11-07,141.770004,144.559998,139.679993,143.229996,143.229996,1706400
2018-11-08,143.270004,143.789993,140.110001,142.270004,142.270004,1516300
2018-11-09,141.389999,142.000000,136.380005,137.559998,137.559998,1693400
2018-11-12,137.279999,138.360001,134.660004,135.419998,135.419998,1739600
2018-11-13,135.529999,140.350006,134.649994,138.699997,138.699997,1835300
2018-11-14,140.869995,144.070007,138.380005,140.130005,140.130005,2621600
2018-11-15,138.330002,139.979996,134.699997,139.830002,139.830002,1850400
2018-11-16,138.080002,138.080002,134.350006,134.529999,134.529999,1788100
2018-11-19,134.500000,135.880005,126.620003,126.989998,126.989998,2698700
2018-11-20,119.449997,124.949997,118.519997,121.389999,121.389999,3049400
2018-11-21,122.190002,124.629997,121.870003,123.879997,123.879997,1888100
2018-11-23,122.500000,124.010002,120.610001,120.860001,120.860001,841400
2018-11-26,122.040001,125.419998,121.870003,123.760002,123.760002,3322100
2018-11-27,122.900002,124.339996,121.400002,122.769997,122.769997,1465000
2018-11-28,123.940002,129.289993,123.940002,128.990005,128.990005,2213300
2018-11-29,128.029999,130.440002,126.839996,129.460007,129.460007,2087000
2018-11-30,129.250000,133.259995,129.250000,132.550003,132.550003,2660400
2018-12-03,137.000000,140.080002,134.100006,139.889999,139.889999,3654000
2018-12-04,139.500000,139.580002,131.320007,133.619995,133.619995,3244300
2018-12-06,133.000000,134.710007,126.559998,131.440002,131.440002,5622300
2018-12-07,132.000000,136.259995,113.610001,113.870003,113.870003,8058700
2018-12-10,113.349998,116.589996,112.370003,115.010002,115.010002,3938200
2018-12-11,117.029999,119.930000,115.800003,116.849998,116.849998,3047000
2018-12-12,120.209999,123.529999,118.500000,122.650002,122.650002,4589200
2018-12-13,122.989998,125.800003,118.150002,120.199997,120.199997,4675300
2018-12-14,118.430000,122.150002,117.610001,119.120003,119.120003,2954000
2018-12-17,119.830002,122.000000,117.500000,118.870003,118.870003,3901500
2018-12-18,120.019997,122.410004,118.379997,119.199997,119.199997,3708800
2018-12-19,119.519997,120.769997,114.150002,115.709999,115.709999,2759200
2018-12-20,114.830002,118.209999,111.339996,115.010002,115.010002,3271600
2018-12-21,116.760002,119.750000,113.529999,113.739998,113.739998,5420500
2018-12-24,112.209999,115.889999,110.709999,113.260002,113.260002,1627000
2018-12-26,114.129997,122.739998,114.099998,122.660004,122.660004,2557300
2018-12-27,120.639999,124.180000,118.690002,123.339996,123.339996,1950300
2018-12-28,124.400002,125.370003,120.639999,121.400002,121.400002,2167000
2018-12-31,123.120003,123.339996,120.559998,121.610001,121.610001,1447300
2019-01-02,118.889999,124.589996,118.279999,123.349998,123.349998,2085800
