Date,Open,High,Low,Close,Adj Close,Volume
2018-02-28,81.010002,82.440002,80.949997,81.099998,81.099998,1944900
2018-03-01,81.010002,81.940002,79.809998,81.040001,81.040001,1376900
2018-03-02,79.779999,82.290001,79.360001,82.070000,82.070000,887500
2018-03-05,81.639999,82.239998,80.760002,81.129997,81.129997,1218400
2018-03-06,81.180000,83.980003,80.870003,83.690002,83.690002,2864700
2018-03-07,82.910004,83.489998,80.639999,81.320000,81.320000,1724700
2018-03-08,81.750000,81.989998,80.290001,80.750000,80.750000,1040200
2018-03-09,81.180000,82.010002,80.089996,81.000000,81.000000,1589700
2018-03-12,81.169998,81.639999,79.610001,80.330002,80.330002,1528200
2018-03-13,80.970001,81.550003,79.790001,79.800003,79.800003,1632900
2018-03-14,79.949997,80.949997,78.660004,80.750000,80.750000,2110500
2018-03-15,80.730003,81.629997,79.400002,79.610001,79.610001,985300
2018-03-16,79.470001,81.459999,79.470001,80.760002,80.760002,1233400
2018-03-19,81.029999,81.029999,79.779999,80.279999,80.279999,1144100
2018-03-20,80.250000,81.589996,80.019997,81.480003,81.480003,1137200
2018-03-21,81.480003,81.870003,80.309998,80.699997,80.699997,1685800
2018-03-22,80.000000,81.290001,80.000000,81.099998,81.099998,1706400
2018-03-23,81.099998,81.620003,79.260002,79.510002,79.510002,2183200
2018-03-26,80.190002,80.519997,78.320000,80.339996,80.339996,2603700
2018-03-27,80.529999,80.709999,77.970001,78.709999,78.709999,4006500
2018-03-28,84.250000,87.980003,83.059998,85.959999,85.959999,10706800
2018-03-29,86.790001,89.540001,86.320000,89.120003,89.120003,4849400
2018-04-02,89.010002,90.250000,86.650002,87.269997,87.269997,3080800
2018-04-03,87.440002,88.989998,87.410004,88.669998,88.669998,1974000
2018-04-04,87.989998,88.760002,87.360001,88.239998,88.239998,2757400
2018-04-05,88.849998,91.440002,88.239998,91.269997,91.269997,3138500
2018-04-06,91.080002,91.349998,88.690002,89.610001,89.610001,3203300
2018-04-09,90.000000,90.849998,89.349998,89.639999,89.639999,1625900
2018-04-10,90.379997,91.190002,90.070000,91.010002,91.010002,939300
2018-04-11,90.660004,91.839996,90.510002,91.080002,91.080002,1606200
